"seqnames","start","end","name","a","nsites"
"1",879286,1192690,"1_879286_1192690",0.0489598888763714,10
"1",1479247,1722035,"1_1479247_1722035",0.0729294992377442,7
"1",1724682,1920412,"1_1724682_1920412",-0.0491218152848409,13
"1",2330852,2529739,"1_2330852_2529739",-0.0673598058642387,14
"1",2530091,3548902,"1_2530091_3548902",0.0117517793523053,14
"1",3551559,3688087,"1_3551559_3688087",0.060418331208068,15
"1",3764037,5934717,"1_3764037_5934717",0.0763784184398101,6
"1",5934932,6172337,"1_5934932_6172337",5.55111512312578e-17,6
"1",6172967,6209135,"1_6172967_6209135",0.0438128320480928,13
"1",6697505,7731097,"1_6697505_7731097",0.0436991661853575,7
"1",7861171,7913491,"1_7861171_7913491",0.00562070393212827,8
"1",8674618,9031040,"1_8674618_9031040",-0.0767999731451064,4
"1",10209240,10338186,"1_10209240_10338186",-0.0562792359198013,4
"1",10405901,10468197,"1_10405901_10468197",2.63677968348475e-16,6
"1",10471473,10678474,"1_10471473_10678474",0.00944167750117746,4
"1",10683074,11074022,"1_10683074_11074022",0.0494605518485097,6
"1",11076899,11134383,"1_11076899_11134383",-0.135460258438049,7
"1",11288723,11346188,"1_11288723_11346188",0.074715080452485,4
"1",11561048,11718928,"1_11561048_11718928",0.178857781777026,7
"1",11721185,11850955,"1_11721185_11850955",2.91433543964104e-16,5
"1",11851262,11888681,"1_11851262_11888681",1.80411241501588e-16,5
"1",12198284,12321206,"1_12198284_12321206",-0.0194349251153183,6
"1",12638744,12854642,"1_12638744_12854642",-0.135214093842953,10
"1",15832483,15901336,"1_15832483_15901336",-0.0686830388660382,7
"1",15904178,16074127,"1_15904178_16074127",-0.0383162593666343,13
"1",16378691,16525749,"1_16378691_16525749",-0.0115696233319603,5
"1",16528275,16641913,"1_16528275_16641913",0.0284964797177385,6
"1",16719721,16916496,"1_16719721_16916496",-0.143267284048045,9
"1",16918340,17314729,"1_16918340_17314729",0.0720155353376751,7
"1",17359553,17552653,"1_17359553_17552653",0.0570784977350288,17
