"seqnames","start","end","name","a","nsites"
"1",879286,1192690,"1_879286_1192690",0.038222717227971,6
"1",1479247,1722035,"1_1479247_1722035",0.152814239352117,5
"1",1724682,1920412,"1_1724682_1920412",-0.0575258597361943,11
"1",2330852,2529739,"1_2330852_2529739",-0.0466667200764028,9
"1",2530091,3548902,"1_2530091_3548902",-0.107184219310337,8
"1",3551559,3688087,"1_3551559_3688087",-0.0139014249526765,7
"1",5934932,6172337,"1_5934932_6172337",0.0677616854298591,5
"1",6172967,6209135,"1_6172967_6209135",0.0444798292011205,6
"1",6697505,7731097,"1_6697505_7731097",-0.0468658724115024,4
"1",7861171,7913491,"1_7861171_7913491",-0.0975480059084308,5
"1",10405901,10468197,"1_10405901_10468197",-0.00678966937080753,6
"1",10471473,10678474,"1_10471473_10678474",0.162261453201721,4
"1",11288723,11346188,"1_11288723_11346188",0.0447247976509354,5
"1",11561048,11718928,"1_11561048_11718928",0.240209891365852,4
"1",11851262,11888681,"1_11851262_11888681",0.137313736815156,4
"1",12638744,12854642,"1_12638744_12854642",-0.128595564850601,8
"1",15832483,15901336,"1_15832483_15901336",-2.63677968348475e-16,7
"1",15904178,16074127,"1_15904178_16074127",0.0418079824756858,10
"1",16378691,16525749,"1_16378691_16525749",0.107346647764561,5
"1",16528275,16641913,"1_16528275_16641913",0.0789414629599967,5
"1",16719721,16916496,"1_16719721_16916496",0.112861640133094,5
"1",17359553,17552653,"1_17359553_17552653",0.0859396061008901,14
"1",19180705,19413315,"1_19180705_19413315",-0.012686647932606,6
"1",19487409,19504237,"1_19487409_19504237",0.0987738342272744,4
"1",19549116,19578003,"1_19549116_19578003",-0.028040864312662,6
"1",19992245,20224155,"1_19992245_20224155",0.0594725227522174,4
"1",20469937,20977184,"1_20469937_20977184",-2.63677968348475e-16,6
"1",21267982,21586885,"1_21267982_21586885",-0.0103554273910867,5
"1",22150797,22173985,"1_22150797_22173985",-0.0598262247532052,4
"1",22174180,22203145,"1_22174180_22203145",-0.0871419262682404,4
"1",22205068,22310323,"1_22205068_22310323",0.199776033308936,5
"1",23356960,23637559,"1_23356960_23637559",0.00934337554563409,8
"1",24143964,24400759,"1_24143964_24400759",0.0656085371237992,10
"1",24401807,24449913,"1_24401807_24449913",0.141697142043494,6
"1",24680862,24841057,"1_24680862_24841057",0.0860985429093385,5
"1",24997875,25573454,"1_24997875_25573454",0.235440154442691,4
"1",26510218,26570809,"1_26510218_26570809",-0.051503308244217,4
"1",26581660,26624553,"1_26581660_26624553",0.0856848197760967,5
"1",26627415,26695062,"1_26627415_26695062",0.04023944561103,8
"1",28384503,28607313,"1_28384503_28607313",0.0383032238588005,4
"1",31744224,31898760,"1_31744224_31898760",0.0230418316313839,4
"1",33623852,33836186,"1_33623852_33836186",0.0512238394809848,5
"1",34208879,35223753,"1_34208879_35223753",0.0960390818436735,5
"1",36937032,37337970,"1_36937032_37337970",0.113640904939601,4
"1",37346233,38027846,"1_37346233_38027846",-0.128091608739622,4
